FUENTE Seccion Especie LATITUD LONGITUD Elevacion Temperatura  Precipitacion
ANDRES Quercus glaucoides 16.26010000000 -95.87560000000 1366 208 1085
ANDRES Quercus glaucoides 16.32110000000 -95.83330000000 1218 193 1045
ANDRES Quercus glaucoides 16.29330000000 -96.06330000000 1477 184 860
ANDRES Quercus glaucoides 16.78080000000 -97.10280000000 2424 151 1084
ANDRES Quercus glaucoides 16.89090000000 -96.84850000000 1902 194 787
ANTERIOR Quercus glaucoides 16.50000000000 -96.08330000000 801 232 725
ANTERIOR Quercus glaucoides 16.66330000000 -96.09670000000 878 234 643
ANTERIOR Quercus glaucoides 16.50000000000 -96.10000000000 949 231 726
ANTERIOR Quercus glaucoides 16.68750000000 -96.01330000000 1001 220 823
ANTERIOR Quercus glaucoides 16.55020000000 -95.98660000000 1037 208 862
ANTERIOR Quercus glaucoides 18.03330000000 -98.18330000000 0 0 0
ANTERIOR Quercus glaucoides 17.08330000000 -96.25000000000 1516 195 922
ANTERIOR Quercus glaucoides 17.85000000000 -97.10000000000 1346 209 636
ANTERIOR Quercus glaucoides 17.92640000000 -98.29920000000 0 0 0
ANTERIOR Quercus glaucoides 17.91310000000 -98.24920000000 0 0 0
ANTERIOR Quercus glaucoides 16.66830000000 -96.37000000000 1401 199 524
ANTERIOR Quercus glaucoides 16.71330000000 -96.09330000000 1438 185 874
ANTERIOR Quercus glaucoides 17.45000000000 -98.38330000000 0 0 0
ANTERIOR Quercus glaucoides 17.80500000000 -97.77500000000 1601 205 692
ANTERIOR Quercus glaucoides 17.48330000000 -98.38330000000 0 0 0
ANTERIOR Quercus glaucoides 17.17170000000 -96.87830000000 1801 192 727
ANTERIOR Quercus glaucoides 16.80000000000 -96.38330000000 1825 177 585
ANTERIOR Quercus glaucoides 17.10140000000 -96.86330000000 1801 192 749
ANTERIOR Quercus glaucoides 17.07920000000 -96.61940000000 1679 190 638
ANTERIOR Quercus glaucoides 16.71330000000 -96.22830000000 1586 174 695
ANTERIOR Quercus glaucoides 17.97280000000 -97.87190000000 0 0 0
ANTERIOR Quercus glaucoides 17.28670000000 -96.92360000000 1801 186 759
ANTERIOR Quercus glaucoides 16.76330000000 -96.42170000000 1801 176 596
ANTERIOR Quercus glaucoides 17.09170000000 -96.25830000000 1807 165 1099
ANTERIOR Quercus glaucoides 18.16440000000 -97.62830000000 0 177 625
